;;;;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;
Leber (C22);55 - 64;männlich;1;599;612;604;710;731;682;729;756;722;850;889;903;901;854;843;735;
Leber (C22);55 - 64;männlich;2;916;922;921;1.036;1.118;1.080;1.100;1.153;1.144;1.245;1.364;1.411;1.427;1.367;1.345;1.199;
Leber (C22);65 - 74;weiblich;1;278;313;287;333;348;346;379;421;359;407;439;416;405;439;406;455;
Leber (C22);65 - 74;weiblich;2;415;449;450;472;527;533;563;632;598;599;681;672;633;662;672;686;
Leber (C22);65 - 74;männlich;1;895;971;1.060;1.150;1.181;1.211;1.244;1.225;1.308;1.207;1.352;1.328;1.290;1.194;1.246;1.162;
Leber (C22);65 - 74;männlich;2;1.357;1.455;1.585;1.741;1.826;1.855;1.923;1.914;1.975;1.919;2.017;2.100;2.077;1.939;1.957;1.879;
Leber (C22);75 und älter;weiblich;1;430;494;513;515;521;515;566;617;582;677;667;723;781;751;725;799;
Leber (C22);75 und älter;weiblich;2;618;669;735;737;750;756;791;895;924;957;1.062;1.097;1.185;1.204;1.127;1.191;
Leber (C22);75 und älter;männlich;1;624;595;649;792;823;972;985;1.027;1.118;1.106;1.331;1.409;1.408;1.381;1.429;1.387;
Leber (C22);75 und älter;männlich;2;888;919;955;1.147;1.277;1.422;1.566;1.630;1.719;1.790;1.977;2.237;2.315;2.222;2.250;2.210;
Kehlkopf (C32);0 - 44;weiblich;1;23;26;25;26;27;25;21;17;15;19;16;15;10;15;11;17;
Kehlkopf (C32);0 - 44;weiblich;2;41;44;44;44;47;46;40;33;27;30;29;26;21;22;22;25;
Kehlkopf (C32);0 - 44;männlich;1;125;91;120;123;115;93;91;67;76;51;41;50;49;39;30;42;
Kehlkopf (C32);0 - 44;männlich;2;214;185;185;210;205;177;157;132;124;106;76;78;83;73;57;64;
Kehlkopf (C32);45 - 54;weiblich;1;72;84;98;81;84;86;85;84;85;94;76;88;68;79;71;71;
